Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"bairstow,cameron",chi,PF,14,60,3,14,0,0,4,5,6,8,1,2,3,1,8,0,10,0,0,0,1,-12
"barbosa,leandro",gsw,SG,52,705,137,294,33,83,46,59,19,59,64,28,34,5,71,0,353,0,0,0,1,-101
"barea,j.j.",dal,PG,66,1168,194,456,50,145,64,79,22,123,220,29,60,1,87,0,502,0,0,0,10,121
"bargnani,andrea",nyk,C,16,403,83,178,6,14,50,65,18,67,25,2,20,12,33,1,222,0,0,0,9,-121
"barnes,harrison",gsw,SF,65,1884,248,517,73,175,84,119,100,372,90,44,61,12,110,0,653,0,0,0,65,425
"barnes,matt",lac,SF,62,1839,222,488,105,279,66,84,36,241,92,55,70,40,191,2,615,12,0,0,60,368
"barron,earl",pho,PF,8,45,3,10,0,0,3,4,3,6,1,2,1,0,11,0,9,0,0,0,1,-27
"barton,will",den,SG,42,618,93,219,14,51,47,63,13,86,52,26,37,12,44,0,247,1,0,0,0,12
"bass,brandon",bos,PF,65,1500,269,547,7,22,126,161,108,315,81,32,65,29,110,0,671,0,0,0,26,-122
"batum,nicolas",por,SF,56,1912,196,491,75,249,68,80,45,322,265,59,106,36,83,0,535,1,0,0,56,215
"bayless,jerryd",mil,PG,62,1375,185,416,31,92,99,111,15,160,189,49,100,11,128,0,500,4,0,0,4,84
"baynes,aron",san,PF,57,899,145,264,1,4,73,86,86,254,29,11,58,15,137,2,364,1,0,0,13,96
"bazemore,kent",atl,SG,58,952,103,234,35,86,38,69,15,158,52,40,54,25,97,0,279,1,0,0,4,-88
"beal,bradley",was,SG,48,1598,265,635,80,196,98,123,44,186,150,58,94,11,108,1,708,1,0,0,44,180
"beasley,michael",mia,PF,9,213,40,93,4,16,7,10,7,36,7,8,13,3,31,2,91,2,0,0,0,2
"belinelli,marco",san,SG,45,1022,150,344,60,157,61,75,20,106,76,23,40,3,63,0,421,0,0,0,9,-12
"benimon,jerrelle",uta,PF,2,3,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,6
"bennett,anthony",min,PF,53,843,115,274,5,16,39,62,47,202,43,23,31,16,82,0,274,0,0,0,3,-287
"beverley,patrick",hou,PG,51,1576,186,492,106,299,39,54,65,226,170,54,74,20,169,2,517,6,0,0,50,24
"biyombo,bismack",cha,C,46,799,74,130,0,0,65,120,116,276,9,11,39,61,98,0,213,2,0,0,14,22
